timestamp,candidate_id,params_hash,split,sr_net,n_obs
2026-07-19T22:57:33+00:00,g2_gen0,5f11bc7b0755fe93,train_g2,-3.571906,1154
2026-07-19T22:57:34+00:00,g2_gen0,bb43e4d41207ed3d,train_g2,nan,0
2026-07-19T22:57:37+00:00,g2_gen0,64342e4fcc5ecec4,train_g2,-7.047122,12261
2026-07-19T22:57:39+00:00,g2_gen0,21e9f2e90a2a16ff,train_g2,-1.634439,12305
2026-07-19T22:57:44+00:00,g2_gen0,bff93b07f7e0f167,train_g2,-6.736681,12251
2026-07-19T22:57:48+00:00,g2_gen0,50dc49af340f2c5c,train_g2,-2.521747,12267
2026-07-19T22:57:50+00:00,g2_gen0,a80c02a74d559a80,train_g2,-0.692652,12338
2026-07-19T22:57:53+00:00,g2_gen0,99ff8049f77ab128,train_g2,-6.282456,12202
2026-07-19T22:57:57+00:00,g2_gen0,6aae7a564d291071,train_g2,-4.923933,12012
2026-07-19T22:58:00+00:00,g2_gen0,82fa9ac7c47bb1ac,train_g2,-8.001426,12297
2026-07-19T22:58:03+00:00,g2_gen0,bcbfa572e2b36a47,train_g2,-9.126712,5270
2026-07-19T22:58:07+00:00,g2_gen0,35ab6eed92ca6921,train_g2,-7.314816,11421
2026-07-19T22:58:10+00:00,g2_gen0,a5fd0da7c0a08ca8,train_g2,-8.472472,12353
2026-07-19T22:58:13+00:00,g2_gen0,6cfbde2d413a3ff0,train_g2,-7.992847,6183
2026-07-19T22:58:16+00:00,g2_gen0,c700bb0d6223307e,train_g2,-1.5904,12307
2026-07-19T22:58:20+00:00,g2_gen0,c8e2dc0c3190bd44,train_g2,-6.006728,12333
2026-07-19T22:58:24+00:00,g2_gen0,7c12806e6338a007,train_g2,-5.558838,12357
2026-07-19T22:58:26+00:00,g2_gen0,b6768309afc8bf39,train_g2,-6.728527,12291
2026-07-19T22:58:29+00:00,g2_gen0,b246fd5f725e2e61,train_g2,-4.02653,12356
2026-07-19T22:58:31+00:00,g2_gen0,ad38e9ba520fc069,train_g2,-5.577154,11961
2026-07-19T22:58:33+00:00,g2_gen0,90fe68064f9f1800,train_g2,-0.482045,12327
2026-07-19T22:58:38+00:00,g2_gen0,e131b47720067981,train_g2,-3.164422,12346
2026-07-19T22:58:41+00:00,g2_gen0,82fa9ac7c47bb1ac,train_g2,-7.087499,12297
2026-07-19T22:58:43+00:00,g2_gen0,05b4e73f2264f9ef,train_g2,-6.673095,11856
2026-07-19T22:58:46+00:00,g2_gen0,e131b47720067981,train_g2,-1.516686,12346
2026-07-19T22:58:49+00:00,g2_gen0,98748216e79facd8,train_g2,-3.481339,12336
2026-07-19T22:58:51+00:00,g2_gen0,6f1ebd7b7aa898bd,train_g2,-8.13985,6182
2026-07-19T22:58:54+00:00,g2_gen0,9313011c0ad15d3f,train_g2,-8.370603,12354
2026-07-19T22:58:56+00:00,g2_gen0,a80c02a74d559a80,train_g2,0.635547,12338
2026-07-19T22:58:59+00:00,g2_gen0,0a9b1d68d71cb94c,train_g2,-6.93512,12328
2026-07-19T22:59:01+00:00,g2_gen0,36d365a74f251cd3,train_g2,-6.318666,10210
2026-07-19T22:59:04+00:00,g2_gen0,d6b7dba7c4b60f1d,train_g2,-8.080096,12304
2026-07-19T22:59:06+00:00,g2_gen0,6cfbde2d413a3ff0,train_g2,-7.992847,6183
2026-07-19T22:59:09+00:00,g2_gen1,cfcb4fbed60ae9f4,train_g2,-2.260022,12323
2026-07-19T22:59:12+00:00,g2_gen1,83dbc60dacf56e04,train_g2,-0.702034,12324
2026-07-19T22:59:14+00:00,g2_gen1,31ffac49f195819c,train_g2,nan,0
2026-07-19T22:59:16+00:00,g2_gen1,c14d253beca71d3e,train_g2,-0.293906,12328
2026-07-19T22:59:19+00:00,g2_gen1,1a5af41a9cf78e39,train_g2,-4.85348,12348
2026-07-19T22:59:23+00:00,g2_gen1,3f861f8b57b81fbb,train_g2,-7.462367,12316
2026-07-19T22:59:25+00:00,g2_gen1,625c53ee7a3fa772,train_g2,0.671395,12309
2026-07-19T22:59:28+00:00,g2_gen1,83dbc60dacf56e04,train_g2,-4.056512,12324
2026-07-19T22:59:33+00:00,g2_gen1,63133142a3025d63,train_g2,-5.208022,12344
2026-07-19T22:59:35+00:00,g2_gen1,ea9356343b92f25a,train_g2,-7.869182,12357
2026-07-19T22:59:37+00:00,g2_gen1,0ca4f1c1766d09cc,train_g2,-4.564643,12356
2026-07-19T22:59:40+00:00,g2_gen1,ea9356343b92f25a,train_g2,-1.50293,12357
2026-07-19T22:59:44+00:00,g2_gen1,0860f533110fce87,train_g2,-8.317942,12353
2026-07-19T22:59:46+00:00,g2_gen1,31ffac49f195819c,train_g2,nan,0
2026-07-19T22:59:48+00:00,g2_gen1,2ff580c47a13ef61,train_g2,nan,1
2026-07-19T22:59:50+00:00,g2_gen1,e2bd7f897e7abae8,train_g2,-4.526137,12354
2026-07-19T22:59:52+00:00,g2_gen1,625c53ee7a3fa772,train_g2,-0.383188,12309
2026-07-19T22:59:54+00:00,g2_gen1,e2bd7f897e7abae8,train_g2,-3.80423,12354
2026-07-19T22:59:57+00:00,g2_gen1,ea9356343b92f25a,train_g2,-4.772545,12357
2026-07-19T23:00:00+00:00,g2_gen1,d583dd152b779bff,train_g2,-2.360673,12288
2026-07-19T23:00:02+00:00,g2_gen1,ef8aacff8b4894d3,train_g2,-7.00875,12297
2026-07-19T23:00:05+00:00,g2_gen1,a8cc57aed7fdf471,train_g2,-4.979376,12358
2026-07-19T23:00:07+00:00,g2_gen1,a8cc57aed7fdf471,train_g2,-3.36031,12358
2026-07-19T23:00:09+00:00,g2_gen1,625c53ee7a3fa772,train_g2,0.696549,12309
2026-07-19T23:00:12+00:00,g2_gen1,ef8aacff8b4894d3,train_g2,-5.31977,12297
2026-07-19T23:00:14+00:00,g2_gen1,625c53ee7a3fa772,train_g2,-0.585719,12309
2026-07-19T23:00:17+00:00,g2_gen1,e2bd7f897e7abae8,train_g2,-4.507727,12354
2026-07-19T23:00:21+00:00,g2_gen1,63133142a3025d63,train_g2,-0.665998,12344
2026-07-19T23:00:24+00:00,g2_gen1,ef8aacff8b4894d3,train_g2,-4.303574,12297
2026-07-19T23:00:27+00:00,g2_gen1,e4526b4791099af3,train_g2,-4.793,12283
2026-07-19T23:00:30+00:00,g2_gen1,c6260a0c9691f8fc,train_g2,-0.566944,7512
2026-07-19T23:00:32+00:00,g2_gen1,143a9eaf07457e13,train_g2,-4.395534,12074
2026-07-19T23:00:34+00:00,g2_gen1,6b70ceab1c94ea0b,train_g2,0.24007,12338
2026-07-19T23:00:37+00:00,g2_gen1,939467f9f81ff9b2,train_g2,-0.9471,12337
2026-07-19T23:00:39+00:00,g2_gen1,1a5af41a9cf78e39,train_g2,-0.911857,12348
2026-07-19T23:00:43+00:00,g2_gen1,ba0a79e4d43deef7,train_g2,-1.116899,7063
2026-07-19T23:00:45+00:00,g2_gen1,a8cc57aed7fdf471,train_g2,-3.402142,12358
2026-07-19T23:01:21+00:00,g2_gen1,860f4fa2a4d142bb,train_g2,-7.360425,12308
2026-07-19T23:01:26+00:00,g2_gen1,6578581e4e2e1f8a,train_g2,-1.158229,12299
2026-07-19T23:01:35+00:00,g2_gen1,bacf6342b1c23d24,train_g2,-0.948282,6676
2026-07-19T23:01:43+00:00,g2_gen1,11ee97c55c80c4f3,train_g2,-0.31821,12345
2026-07-19T23:01:47+00:00,g2_gen1,6831dcc385797e1e,train_g2,-4.884892,12093
2026-07-19T23:01:55+00:00,g2_gen1,505deb3f8195edbb,train_g2,-4.677734,12350
2026-07-19T23:01:58+00:00,g2_gen1,55a9e37fb1eff2f5,train_g2,-0.742216,12298
2026-07-19T23:02:00+00:00,g2_gen1,cbdbca6d21fa17c4,train_g2,-4.208833,12050
2026-07-19T23:02:06+00:00,g2_gen1,a5015f65718b9899,train_g2,-4.886418,2575
2026-07-19T23:02:08+00:00,g2_gen1,b2d19534f5082f1e,train_g2,-5.700443,9566
2026-07-19T23:02:11+00:00,g2_gen1,c14d253beca71d3e,train_g2,0.5167,12328
2026-07-19T23:02:14+00:00,g2_gen1,d7e44cfbe1519090,train_g2,-0.806175,12268
2026-07-19T23:02:17+00:00,g2_gen1,defd71041d459d91,train_g2,-1.584203,12332
2026-07-19T23:02:28+00:00,g2_gen1,0860f533110fce87,train_g2,-3.050578,12353
2026-07-19T23:02:34+00:00,g2_gen1,00906ed545646bc5,train_g2,-3.149925,314
2026-07-19T23:02:55+00:00,g2_gen1,36c111fed9dd8124,train_g2,-6.815662,12183
2026-07-19T23:02:57+00:00,g2_gen1,4bf772382caad595,train_g2,-0.92334,12349
2026-07-19T23:02:59+00:00,g2_gen1,a8cc57aed7fdf471,train_g2,-6.312907,12358
2026-07-19T23:03:01+00:00,g2_gen1,939467f9f81ff9b2,train_g2,-7.542344,12337
2026-07-19T23:03:04+00:00,g2_gen1,cfcb4fbed60ae9f4,train_g2,0.659947,12323
2026-07-19T23:03:06+00:00,g2_gen1,cc6e7208203d01e4,train_g2,-9.126712,5270
2026-07-19T23:03:12+00:00,g2_gen2,0889519814c01862,train_g2,-5.750865,12358
2026-07-19T23:03:15+00:00,g2_gen2,a1c69437d501695e,train_g2,-3.41077,12328
2026-07-19T23:03:17+00:00,g2_gen2,6d13b18575d50c09,train_g2,-3.788223,12352
2026-07-19T23:03:20+00:00,g2_gen2,483bd7c71430bfca,train_g2,-4.78841,12317
2026-07-19T23:03:23+00:00,g2_gen2,b02efba0561432ab,train_g2,-0.412143,12308
2026-07-19T23:03:25+00:00,g2_gen2,a1857fb3469c5cee,train_g2,-1.175417,12296
2026-07-19T23:03:28+00:00,g2_gen2,34f578f38b22af69,train_g2,-0.618572,12327
2026-07-19T23:03:31+00:00,g2_gen2,aab65094b77c3de3,train_g2,0.711684,12309
2026-07-19T23:03:33+00:00,g2_gen2,c91a5d44fd85bd85,train_g2,0.601763,12338
2026-07-19T23:03:36+00:00,g2_gen2,d6124c3190385c3c,train_g2,-0.058385,12329
2026-07-19T23:03:40+00:00,g2_gen2,61f26f5b7f131b85,train_g2,-1.472891,12266
2026-07-19T23:03:43+00:00,g2_gen2,e793c46e7113bde7,train_g2,-0.952748,12350
2026-07-19T23:03:46+00:00,g2_gen2,09c5e5cbd84b0bbc,train_g2,-2.934609,12345
2026-07-19T23:03:48+00:00,g2_gen2,dda3c994256d98b5,train_g2,-4.818751,12285
2026-07-19T23:03:50+00:00,g2_gen2,0889519814c01862,train_g2,-2.763419,12358
2026-07-19T23:03:52+00:00,g2_gen2,3e3882cd3dcccaa5,train_g2,-2.934781,12346
2026-07-19T23:03:54+00:00,g2_gen2,c91a5d44fd85bd85,train_g2,-2.992284,12338
